,Finanzierungsart,Year,Melder,Sektor,Annex2,Empfängerland,ODA-Art,Projektbeschreibung,Organisation,Art der Organisation,ProjectNumber,Zusage,Auszahlung,ISO
6820,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,"Far East Asia, regional",Bil ODA,"Seagrass is an essential food source for dugongs and other marine wildlife and provides key ecosystem services (e.g. fisheries productivity and carbon sequestration). Seagrass ecosystems are declining globally due to pressure from coastal development, fishing and boating, pollution and climate change. Information on the status of seagrass ecosystems and the services that they provide is lacking. The project contributes to reducing these knowledge gaps by engaging local NGOs and communities in the conservation of seagrass. NGOs are trained in participatory science to enable them to collect data and identify key seagrass areas. This information is then used to engage communities and decision makers in developing policies for seagrass conservation. In parallel, the project implements alternative business models in coastal communities to improve livelihoods and contribute funds for seagrass conservation. This enhances the sustainability of seagrass ecosystems in the Indo-Pacific.",United Nations Environment Programme ,"United Nations (UN) agency, fund or commission",18_IV_094_Asia_M_Seagrass Ecosystems_N,0.0,1617817.0,
6821,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41010.0,Yes,Grenada,Bil ODA,"The project supported the island state of Grenada in increasing the resilience of sectors of the population and ecosystems that are particularly vulnerable to the effects of climate change. To do this, it took an integrative approach across different sectors and different levels - at national level, the project strengthened the government's capacity to coordinate different stakeholders in the field of adaptation. At individual sector level, it supported Grenada in using its water resources efficiently and in developing coastal zone management plans that take current and future climatic changes into account. At local level, the project partners supported specific adaptation measures that increase the resilience of poor sectors of the population, while at the same time improving their living conditions. This comprehensive approach can serve as an example for other countries in the region and facilitate access to additional resources for adaptation to climate change.The project succesfully developed a GCF dunding propsal, which is cofunded by BMU. The cofunded part of the project is implemented througth the IKI PRoject Climate Resilience in Grenada`s Water Sector - COntributions of the Water Sector to Grenada's NDC (19_II_177_GRD_G_CREWS-NDC).",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",11_II+_007_GRD_G_Pilotland,0.0,15315.0,GRD
6822,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41010.0,Yes,Mali,Bil ODA,"The project aims to increase the resilience to the impacts of climate change. Innovative and integrative climate change adaptation approaches will be applied and capacities will be strenghtened. The project aims to improve the interrelation between national frmaework conditions, local planning as well as implementation of adaptation measures. It supports Mali with the implementation of the Nationally Determined Contributions (NDC) and the National Adaptation Plan (NAP). By supporting the Mali Climate Funds finance for adaptation measures will be strengthened. A cross-sectoral dialogue supports the integration of adaptation to climate change in ministerial budgets. Further. the project supports decentralized local authorities with the implementation of adaptation measures. The project is also conducted by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",11_II+_006_MLI_M_Pilotland,284297.0,514378.0,MLI
6823,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,"Middle Africa, regional",Bil ODA,"The objective of this programme, managed by UN Environment and FAO, is to support sustainable land-use planning in the biodiversity-rich Lac Tele/Lac Tumba landscape in the Congo Basin. To protect the invaluable natural diversity and carbon sinks, this programme, which runs until 2025, aims to support the RoC and DRC in climate and biodiversity-friendly development planning through informed cross-sectoral policy-making and ecological analysis & monitoring, including early warning system and spatial land-use planning tools. A participatory governance mechanism will include all stakeholders, such as local communities, NGOs, private sector and academia. Options for low-impact drainage-free land-uses and alternative community-based livelihoods, such as community-based ecotourism, sustainable fishing or wet agriculture, will be explored. A key pillar of the programme is to build capacity of civil society and government institutions to support integrated long-term environmental management.",United Nations Environment Programme ,"United Nations (UN) agency, fund or commission",19_IV_098_Afrika_M_Congo Basin Peatlands,0.0,14181.0,
6824,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,"Middle Africa, regional",Bil ODA,"The objective of this programme, managed by UN Environment and FAO, is to support sustainable land-use planning in the biodiversity-rich Lac Tele/Lac Tumba landscape in the Congo Basin. To protect the invaluable natural diversity and carbon sinks, this programme, which runs until 2025, aims to support the RoC and DRC in climate and biodiversity-friendly development planning through informed cross-sectoral policy-making and ecological analysis & monitoring, including early warning system and spatial land-use planning tools. A participatory governance mechanism will include all stakeholders, such as local communities, NGOs, private sector and academia. Options for low-impact drainage-free land-uses and alternative community-based livelihoods, such as community-based ecotourism, sustainable fishing or wet agriculture, will be explored. A key pillar of the programme is to build capacity of civil society and government institutions to support integrated long-term environmental management.",United Nations Environment Programme ,"United Nations (UN) agency, fund or commission",19_IV_098_Afrika_M_Congo Basin Peatlands,0.0,230322.0,
6825,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,"Middle Africa, regional",Bil ODA,"The Cross River Gorilla (Gorilla gorilla diehli) is one of two subspecies of the Western Gorilla from the primate family of great apes (Hominidae). It is the most northwesterly and, with only a few hundred animals, one of the most threatened gorilla populations. Cross River gorillas are found exclusively in the border region between Nigeria and Cameroon. The destruction of their natural habitat and hunting are the main threats. So far, there is still informal cooperation on a technical level between Cameroon and Nigeria. The project is now intended to support both states in their efforts to conclude a bilateral agreement for the protection of the gorillas and to declare a joint protected area.Conflict Parks in DR Congo - GRASP has been supporting the national park authority for several years in developing and implementing a systematic conflict resolution strategy. The problem of illegal mines in the national park has so far been ignored. The project aims to bring the park authority together with the UN (including the UN peace mission) and thereby contribute to conflict resolution.",United Nations Environment Programme ,"United Nations (UN) agency, fund or commission",,41026.0,41026.0,
6826,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41010.0,Yes,Morocco,Bil ODA,"The goal of the project is the compilation of comprehensive and reliable information about the state of the environment and environmental politics in Morocco. This basis can be used to extract recommendations for action, which can be used by Morocco to improve the state of their environment, environmental administration and the implementation of environmental policies.",United Nations Economic Commission for Europe (extrabudgetary contributions only),"United Nations (UN) agency, fund or commission",UBA 150796,56889.0,56889.0,MAR
6827,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,Peru,Bil ODA,"The habitats of indigenous communities in the Peruvian Amazon region are threatened by the consequences of climate change and by the illegal clearing of forests for various purposes such as gold mining. The project strengthens the affected population's resilience to the negative impacts of climate change in two communal reserves. One action being taken is the integration of ecosystem-based adaptation (EbA) strategies into the sustainable management of protected communal areas. Project activities such as aerial photography to identify threats and forest restoration help to ensure that these valuable areas are preserved and provide support for the sustainable development of the indigenous communities, whose livelihoods depend on natural resources. The experience gained in this project is being transferred to ten communal reserves in Peru.",United Nations Development Programme ,"United Nations (UN) agency, fund or commission",13_II_098_PER_M_Communal Reserves,0.0,593103.0,PER
6828,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",43030.0,Yes,Philippines,Bil ODA,"The project advises the Philippine government on how to promote adaptation to climate change by means of appropriate policy measures, sustainable urban development plans and designs. With the aim of supporting the National Climate Change Action Plan and Nationally Determined Contributions, the institutional capacities on national and sub-national levels are strengthened to steer urban growth and COVID-19 green recovery by applying low emission and resilience principles and practices. The project enhances urban and settlement planning guidelines through policy advisory and model implementation activities. Five cities are supported to model resilient urban designs, and balance economic and ecological concerns amidst rapid urbanisation. As part of the IKI Corona Response Package two of these cities are assisted in green recovery from COVID-19 impacts.New policies, standards and practices on resilient urban management, including green recovery, will be developed, documented and published.",United Nations Human Settlement Programme ,"United Nations (UN) agency, fund or commission",17_II_153_PHL_M_Urban Resiliency,782024.0,114913.0,PHL
6829,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",23110.0,Yes,"South of Sahara, regional",Bil ODA,"The fund targets medium- to long-term debt to develop, build, and/or operate renewable energy installations that provide clean energy access to household and businesses, or provide ancillary services in the energy supply chain in Sub-Saharan Africa. The debt will be in the form of risk participations with financial institutions that on-lend to businesses (e.g. senior debt or first-loss financing for a portfolio of loans), or direct lending (e.g. senior, junior, and mezzanine loans) to non-financial corporates such as renewable energy developers and grid operators.",European Investment Bank ,European Union Institutions,19_I_396_Afrika_M_UGEAP_L,1985841.0,1985841.0,
6830,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",23110.0,Yes,"South of Sahara, regional",Bil ODA,"The fund targets medium- to long-term debt to develop, build, and/or operate renewable energy installations that provide clean energy access to household and businesses, or provide ancillary services in the energy supply chain in Sub-Saharan Africa. The debt will be in the form of risk participations with financial institutions that on-lend to businesses (e.g. senior debt or first-loss financing for a portfolio of loans), or direct lending (e.g. senior, junior, and mezzanine loans) to non-financial corporates such as renewable energy developers and grid operators.",European Investment Bank ,European Union Institutions,19_I_396_Afrika_M_UGEAP_N,7254925.0,7254925.0,
6831,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,"South of Sahara, regional",Bil ODA,"The African Atlantic coast has an  Exclusive Economic Zone , which is home to a great variety of species and rich fishing grounds. However, these valuable ecosystems are under constant threat through overfishing and pollution. The project uses an integrated management approach to improve the environmental protection of marine and coastal ecosystems, biodiversity, the sustainable use of resources and the long-term provision of ecosystem services in the member states of the Abidjan Convention. To achieve these goals, a concept for the identification of EBSAs has been developed. The project also supports cross-border pilot projects in Benin, Côte d'Ivoire and Ghana to develop marine spatial planning concepts for improved environmental protection, to promote sustainable development based on ecosystem services and to produce reports on the condition of the marine environment. Mami Wata partners are now responsible for local capacity building.",United Nations Environment Programme ,"United Nations (UN) agency, fund or commission",16_IV_054_Afrika_A_Enhanced Marine Manag,0.0,194264.9999999999,
6832,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41030.0,Yes,"South of Sahara, regional",Bil ODA,"The African Atlantic coast has an  Exclusive Economic Zone , which is home to a great variety of species and rich fishing grounds. However, these valuable ecosystems are under constant threat through overfishing and pollution. The project uses an integrated management approach to improve the environmental protection of marine and coastal ecosystems, biodiversity, the sustainable use of resources and the long-term provision of ecosystem services in the member states of the Abidjan Convention. To achieve these goals, a concept for the identification of EBSAs has been developed. The project also supports cross-border pilot projects in Benin, Côte d'Ivoire and Ghana to develop marine spatial planning concepts for improved environmental protection, to promote sustainable development based on ecosystem services and to produce reports on the condition of the marine environment. Mami Wata partners are now responsible for local capacity building.",United Nations Environment Programme ,"United Nations (UN) agency, fund or commission",16_IV_054_Afrika_A_Enhanced Marine Manag,0.0,327952.9999999999,
6833,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",72050.0,Yes,"South of Sahara, regional",Bil ODA,"The project strengthens the capacities of displaced and vulnerable populations to adapt to climate change in Burundi, Sudan and Chad. Country-specific studies assess the mainstreaming of environmental protection and climate change in humanitarian operations. In Burundi and Sudan a  no regrets  strategy is being applied to improve the adaptability of households and communities in existing humanitarian programmes. The aim is to facilitate the population's access to fuels, cooking facilities and sustainable water sources, and in the case of communities, the use of renewable energy needed for health and education services is being improved. Technical assistance and knowledge transfer are enhancing the capacities of governments and their partners to manage environmental and climate risks.",World Food Programme ,"United Nations (UN) agency, fund or commission",18_II_169_Africa_M_Adaptation in Humanit,0.0,553591.0,
6834,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",24010.0,Yes,"Western Africa, regional",Bil ODA,"The implementation of ambitious NDCs of West African countries faces a large funding gap. In 2017, 16 countries have formed the  West African Alliance on Carbon Markets and Climate Finance  to jointly tackle issues relating to accessing carbon markets and climate finance for NDC implementation. Building on the Alliance's successful start, the project seeks to deepen sub-regional cooperation and enhance in-country readiness for Article 6 implementation. The member participation in international negotiations on Article 6 of the Paris Agreement ensures that African priorities are reflected in the design of the new carbon market approaches. Furthermore, the inception of carbon market projects is supported by a platform for networking between strategic partners (e.g. financiers, project developers). The development of institutionalized regional cooperation structures will increase awareness, transfer knowledge and stimulate replication in the region.",West African Development Bank,Regional Development Banks,20_I_404_AFRI_M_W-African Alliance Carbo,1092961.0,178362.9999999999,
6835,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",41010.0,Yes,"Western Africa, regional",Bil ODA,"The main objective of the proposed project is for West African countries to be able to participate in inter-national carbon markets and to have access to results-based climate finance for the implementation of their national climate change contributions. The project will promote and support the active participation of West Africa. For example, West African delegates will participate in the UNFCCC negotiations on carbon market mechanisms and climate finance, gain access to market mechanisms and opportunities for climate finance at national and regional level. The West African countries should be assisted in the transition from CDM-related capacities and projects to the Paris Convention and assisted in pilot projects.",West African Development Bank,Regional Development Banks,45134-8/1.104,1255119.0,74521.0,
6836,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",24010.0,Yes,"Western Africa, regional",Bil ODA,"The implementation of ambitious NDCs of West African countries faces a large funding gap. In 2017, 16 countries have formed the  West African Alliance on Carbon Markets and Climate Finance  to jointly tackle issues relating to accessing carbon markets and climate finance for NDC implementation. Building on the Alliance's successful start, the project seeks to deepen sub-regional cooperation and enhance in-country readiness for Article 6 implementation. The member participation in international negotiations on Article 6 of the Paris Agreement ensures that African priorities are reflected in the design of the new carbon market approaches. Furthermore, the inception of carbon market projects is supported by a platform for networking between strategic partners (e.g. financiers, project developers). The development of institutionalized regional cooperation structures will increase awareness, transfer knowledge and stimulate replication in the region.",West African Development Bank,Regional Development Banks,20_I_404_AFRI_M_W-African Alliance Carbo,2096304.0,342100.0,
6837,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to WTO-ITC,World Trade Organisation - International Trade Centre ,"United Nations (UN) agency, fund or commission",,1375904.0,1375904.0,
6838,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to ITU,International Telecommunications Union,"United Nations (UN) agency, fund or commission",ITU_2020,1475194.0,1475194.0,
6839,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to IAEA-Assessed,International Atomic Energy Agency - assessed contributions,"United Nations (UN) agency, fund or commission",,8435332.0,8435332.0,
6840,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UPU,Universal Postal Union ,"United Nations (UN) agency, fund or commission",UPU_2020,341428.99999999994,341428.99999999994,
6841,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to UNWTO,World Tourism Organisation,"United Nations (UN) agency, fund or commission",41319,361555.0,361555.0,
6842,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to IRENA,International Renewable Energy Agency,Other multilateral institutions,,1020002.0000000001,1020002.0000000001,
6843,Kernbeitrag (multi. ODA),2020,Federal Ministry for Economic Affairs and Energy,99810.0,Yes,"Bilateral, unspecified",Multi ODA,Contribution to IAEA-TCF,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),"United Nations (UN) agency, fund or commission",,5880768.0,5880768.0,
6844,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry for Economic Affairs and Energy,23110.0,Yes,"Developing countries, unspecified",Bil ODA,Voluntary contribution 2020 for specific projects of the International Renewable Energy Agency (IRENA).,International Renewable Energy Agency,Other multilateral institutions,,703319.0,703319.0,
6845,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry for Economic Affairs and Energy,23110.0,Yes,"Developing countries, unspecified",Bil ODA,"Contribution for the IRENA Innovation and Technology center (IITC) which represents the German branch of the international organisation focuses on research in the area of renewables. The aim is to develop scientific scenarios for promoting renewable energies throughout the world, with a special focus on developing and newly industrialising countries. The IITC in Bonn wants to develop scientific scenarios for promoting renewable energies throughout the world, with a special focus on developing and emerging countries. It will work closely with the headquarters of the International Renewable Energy Agency (IRENA) in Abu Dhabi to advance the global transition to resource-efficient technologies. The IITC's supports by technology and innovation analyses. Only the proportion of the share for the developing countries is recorded here.",International Renewable Energy Agency,Other multilateral institutions,,3700580.0,3700580.0,
6846,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2020,Federal Ministry for Economic Affairs and Energy,33110.0,No,"Developing countries, unspecified",Bil ODA,Trade Policy Courses are part of development aid. They take place twice a year. The aim is to provide information on the latest developments and to build up capacity for WTO Members which do not have a Permanent Representation in Geneva for economic reasons.,"United Nations (UN) agency, fund or commission, Other","United Nations (UN) agency, fund or commission",TPC,343015.0,343015.0,
6847,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Defence,15230.0,Yes,Mali,Bil ODA,Restoration of 3 classrooms and the library of the LYCEE YANA MAIGA school,"United Nations Department of Peace Operations - UN Peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.","United Nations (UN) agency, fund or commission",M-002-2020,10772.0,10772.0,MLI
6848,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Defence,15230.0,Yes,Mali,Bil ODA,Partial restoration of LABENZANGA Police Station (renewing doors and windows),"United Nations Department of Peace Operations - UN Peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.","United Nations (UN) agency, fund or commission",M-009-2020,2228.0,2228.0,MLI
6849,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Defence,15230.0,Yes,Mali,Bil ODA,Purchase and installation of a solar powered water pump for water supply of the District Hospital GAO (District 6),"United Nations Department of Peace Operations - UN Peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.","United Nations (UN) agency, fund or commission",M-001-2020,6532.0,6532.0,MLI
6850,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Defence,15230.0,Yes,Mali,Bil ODA,Purchase of batteries for radio broadcast station FOGHASSO in BOUREM to maintain broadcasting operations,"United Nations Department of Peace Operations - UN Peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.","United Nations (UN) agency, fund or commission",M-008-2020,10855.0,10855.0,MLI
6851,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43082.0,Yes,"Africa, regional",Bil ODA,"Water and Energy Security in Africa - Research focusing on Water, climate change and water-energy-food- health nexus - Research funding of particular significance for developing countries / Knowledge transfer",United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",01DG16010A_N,0.0,177471.9999999999,
6852,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43082.0,Yes,"Africa, regional",Bil ODA,"Water and Energy Security in Africa - Research focusing on Water, climate change and water-energy-food- health nexus - Research funding of particular significance for developing countries / Knowledge transfer",United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",01DG16010A_L,0.0,195566.9999999999,
6853,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2020,Federal Ministry of Education and Research,11330.0,Yes,"Developing countries, unspecified",Bil ODA,Financial participation in the UNESCO - UNEVOC vocational education and training project - Energy production from renewable raw materials in forestry and agriculture,"United Nations Educational, Scientific and Cultural Organisation","United Nations (UN) agency, fund or commission",UNESCO2015,0.0,1054131.0,
6854,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43082.0,Yes,"Developing countries, unspecified",Bil ODA,Funding for the establishment of a research and training centre on the topic of  human security and migration in the context of environmental change  at the United Nations University UNU-EHS in Bonn - Research funding / knowledge transfer / advanced training / capacity building in education and research in developing country,United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",EHS2017,0.0,764523.0,
6855,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,14020.0,Yes,"Developing countries, unspecified",Bil ODA,"Collaborative project - Framework for Organisational Decision-Making Process in Water Reuse for Smart Cities, sub-project - Project coordination and life cycle analysis - Viable technologies to protect resources (water, IWRM, land, forests, settlements) and eco-technologies in the developing country",United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",01DR20007A,117605.0,15413.0,
6856,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43081.0,Yes,"Developing countries, unspecified",Bil ODA,Establishing and strengthening the coordinating function of the UNU Vice Rectorate in Europe for activities particularly in and involving Europe and Africa - Energy production from renewable raw materials in forestry and agriculture,United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",VIE2014,0.0,1139601.0,
6857,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43082.0,Yes,"Developing countries, unspecified",Bil ODA,Funding for the UNU-FLORES institute (Institute for Integrated Management of Material Fluxes and of Resources) in Dresden - Energy production from renewable raw materials in forestry and agriculture,United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",UNFL2015,0.0,1480751.0,
6858,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,23182.0,Yes,Niger,Bil ODA,"CLIENT II - collaborative project - RETO-DOSSO - Researchers back to the secondary School - Renewable energy powered water-food-Economy nexus for the sustainable livelihood at Dosso Region in Niger, sub-project - Climate change impacts and adaptation measures - Energy technologies and energy efficiency",United Nations University (including Endowment Fund) ,"United Nations (UN) agency, fund or commission",03SF0598D,238132.0,27350.0,NER
6859,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1824_N,0.0,318373.9999999999,
6860,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Funding contract 2019 - Financing of the European-African Studies - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1901_L,0.0,740452.0,
6861,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43082.0,Yes,"South of Sahara, regional",Bil ODA,BMBF - TWAS Capacity Building Programme for Young African Researchers - Research funding with particular importance for the developing country on earthquake / tsunami prevention,"United Nations Educational, Scientific and Cultural Organisation","United Nations (UN) agency, fund or commission",01DG20019_N,2450755.0,727644.9999999999,
6862,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,43082.0,Yes,"South of Sahara, regional",Bil ODA,BMBF - TWAS Capacity Building Programme for Young African Researchers - Research funding with particular importance for the developing country on earthquake / tsunami prevention,"United Nations Educational, Scientific and Cultural Organisation","United Nations (UN) agency, fund or commission",01DG20019_L,3953059.0,1173689.0,
6863,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1823_N,0.0,202800.0,
6864,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1822_L,0.0,211042.0,
6865,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1823_L,0.0,327114.9999999999,
6866,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Funding contract 2019 - Financing of the European-African Studies - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1901_N,0.0,459054.0,
6867,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1824_L,0.0,513534.9999999998,
6868,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1822_N,0.0,130838.00000000001,
6869,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1821_L,0.0,140694.9999999999,
6870,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"1. Funding contract 2017 - Financing of the European-African Studies - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1711_L,0.0,211042.0,
6871,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Funding contract 2020 - Financing of the European-African Studies - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA2020_N,1526448.0,218064.0,
6872,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Funding contract 2020 - Financing of the European-African Studies - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA2020_L,2462156.0,351737.0,
6873,Beitrag für Vorhaben und sonstiges (bil. ODA),2020,Federal Ministry of Education and Research,12182.0,No,"South of Sahara, regional",Bil ODA,"Financing of the European and Developing Countries Clinical Trials Partnership - Medical research of particular importance for the developing country, capacity building in education and research in medical research","Other multilateral institutions, Other",Other multilateral institutions,01KA1821_N,0.0,87226.0,
